run_id,material,thickness_mm,peak_load_kN,elongation_pct,operator
RUN001,Q345,4.91,161.07,1.11,李工
RUN002,6061-T6,2.77,73.09,1.91,王工
RUN003,TC4,1.8,,4.67,张工
RUN004,Q235,5.85,104.88,2.6,李工
RUN005,Q345,1.66,164.66,4.63,王工
RUN006,6061-T6,4.9,98.44,,张工
RUN007,TC4,1.56,231.7,3.43,李工
RUN008,Q235,4.84,133.83,6,王工
RUN009,Q345,2.31,,5.53,张工
RUN010,6061-T6,5.97,72.79,3.46,李工
RUN011,TC4,5.38,239.83,7.96,
RUN012,Q235,3.29,126.02,6.04,张工
RUN013,Q345,4.84,192.58,3.25,李工
RUN014,6061-T6,5.26,88.2,,王工
RUN015,TC4,5.05,175.42,3.44,张工
RUN016,Q235,2.06,115.18,4.69,李工
RUN017,Q345,2.43,,6.73,王工
RUN018,6061-T6,1.61,88.95,7.64,张工
RUN019,TC4,1.54,243.77,5.11,李工
RUN020,Q235,1.83,103.72,5.78,
RUN021,Q345,2.45,150.5,4.36,张工
RUN022,6061-T6,5.25,98.19,,李工
RUN023,TC4,5.55,176.28,2.25,王工
RUN024,Q235,4.38,114.46,4.37,张工
RUN025,Q345,3.53,,6.07,李工
RUN026,6061-T6,5.66,91.54,7.73,王工
RUN027,TC4,2.97,191.04,5.23,张工
RUN028,Q235,4.67,124.47,,李工
RUN029,Q345,4.85,185.69,2.29,王工
RUN030,6061-T6,2.19,91.54,2.49,张工
RUN031,TC4,5.52,,5.33,李工
RUN032,Q235,3.26,126.14,1.43,王工
RUN033,Q345,4.07,143.32,5.66,
RUN034,6061-T6,2.49,88.27,2.36,李工
RUN035,TC4,2.32,228.12,5.8,王工
RUN036,Q235,5.45,139.93,5.43,张工
RUN001,Q345,4.91,161.07,1.11,李工
RUN006,6061-T6,4.9,98.44,,张工
RUN037,TC4,5.38,239.83,7.96,
RUN038,Q345,3.02,168.4,4.55,李工
RUN038,Q345,3.02,168.4,4.55,李工
