grid_x,grid_y,temperature
0,0,22.07
0,1,23.97
0,2,26.59
0,3,26.03
0,4,27.65
0,5,31.69
0,6,27.5
0,7,28.73
0,8,32.07
0,9,32.87
0,10,31.3
0,11,31.83
0,12,30.12
0,13,30.24
0,14,28.64
0,15,28.89
0,16,23.02
0,17,26.54
1,0,25.08
1,1,27.4
1,2,30.34
1,3,31.1
1,4,29.99
1,5,33.07
1,6,35.7
1,7,32.24
1,8,35.48
1,9,38.56
1,10,35.47
1,11,35.63
1,12,33.2
1,13,31.94
1,14,32.34
1,15,30.8
1,16,25.71
1,17,27.79
2,0,26.49
2,1,31.21
2,2,29.66
2,3,30.7
2,4,35.87
2,5,38.91
2,6,39.23
2,7,43.36
2,8,39.09
2,9,44.55
2,10,38.64
2,11,39.48
2,12,36.62
2,13,36.86
2,14,33.51
2,15,33.63
2,16,32.98
2,17,29.54
3,0,25.94
3,1,29.88
3,2,31.65
3,3,39.54
3,4,37.65
3,5,44.2
3,6,46.96
3,7,45.9
3,8,46.26
3,9,46.8
3,10,45.88
3,11,48.03
3,12,46.22
3,13,43.02
3,14,40.81
3,15,39.32
3,16,31.68
3,17,33.29
4,0,30.23
4,1,31.59
4,2,37.34
4,3,39.17
4,4,44.94
4,5,51.45
4,6,53.7
4,7,55.08
4,8,56.23
4,9,55.91
4,10,58.49
4,11,56.36
4,12,53.98
4,13,47.47
4,14,47.13
4,15,44.35
4,16,35.09
4,17,33.2
5,0,36.19
5,1,36
5,2,40.47
5,3,45.86
5,4,48.72
5,5,58.39
5,6,59.82
5,7,63.9
5,8,62.75
5,9,62.19
5,10,62.25
5,11,62.26
5,12,59.36
5,13,54.37
5,14,50.69
5,15,43.74
5,16,45.03
5,17,40.65
6,0,38.21
6,1,40.86
6,2,46.81
6,3,49.9
6,4,56.52
6,5,62.98
6,6,68.71
6,7,70.44
6,8,71.83
6,9,74.14
6,10,71.22
6,11,69.43
6,12,66.24
6,13,60.05
6,14,56.15
6,15,51.97
6,16,49.07
6,17,40.69
7,0,39.48
7,1,42.92
7,2,54.14
7,3,57.43
7,4,65.46
7,5,67.68
7,6,75.55
7,7,80.38
7,8,80.87
7,9,83.61
7,10,79.19
7,11,76.73
7,12,76.69
7,13,70.54
7,14,63.44
7,15,58.58
7,16,53.06
7,17,47.87
8,0,41.24
8,1,47.2
8,2,54.69
8,3,65.56
8,4,72.14
8,5,74.7
8,6,82.28
8,7,85.87
8,8,92.76
8,9,89.71
8,10,88.64
8,11,89.52
8,12,82.82
8,13,76.39
8,14,70.35
8,15,65.39
8,16,56.88
8,17,46.08
9,0,45.02
9,1,50.94
9,2,60.88
9,3,67.53
9,4,75.72
9,5,85.75
9,6,92.15
9,7,95.16
9,8,98.35
9,9,98.88
9,10,98.73
9,11,97.38
9,12,86.89
9,13,84.55
9,14,75.71
9,15,68.81
9,16,61.25
9,17,50.57
10,0,47.39
10,1,53.63
10,2,65
10,3,70.16
10,4,77.02
10,5,90.02
10,6,97.07
10,7,98.45
10,8,103.91
10,9,107.56
10,10,106.24
10,11,101.91
10,12,97.02
10,13,89.68
10,14,76.53
10,15,72.22
10,16,61.7
10,17,54.7
11,0,47.26
11,1,57.99
11,2,61.41
11,3,70.22
11,4,84.73
11,5,90.8
11,6,97
11,7,106.13
11,8,104.67
11,9,111.72
11,10,106.05
11,11,104.57
11,12,97.37
11,13,88.55
11,14,84.69
11,15,74.5
11,16,61.37
11,17,57.25
12,0,51.08
12,1,58.02
12,2,65.65
12,3,73.89
12,4,85.02
12,5,93.09
12,6,96.48
12,7,105.09
12,8,108.74
12,9,107.68
12,10,109.09
12,11,102.32
12,12,99.36
12,13,92.74
12,14,81.83
12,15,75.36
12,16,62.76
12,17,54.33
13,0,48.11
13,1,53.31
13,2,63.1
13,3,72.45
13,4,80.73
13,5,91.06
13,6,100.77
13,7,105.21
13,8,109.19
13,9,109.35
13,10,106.83
13,11,101.34
13,12,98.56
13,13,93.3
13,14,81.32
13,15,74.42
13,16,65.02
13,17,53.32
14,0,48.28
14,1,53.98
14,2,64.34
14,3,68
14,4,78.74
14,5,86.55
14,6,94.29
14,7,97.88
14,8,105.29
14,9,106.29
14,10,105.82
14,11,101.23
14,12,95.72
14,13,84.66
14,14,78.13
14,15,70.16
14,16,60.57
14,17,51.31
15,0,43.92
15,1,52.75
15,2,59.09
15,3,69.99
15,4,72.47
15,5,81.36
15,6,90
15,7,95.16
15,8,98.45
15,9,99.59
15,10,99.91
15,11,93.32
15,12,92.49
15,13,81.67
15,14,73.09
15,15,68.55
15,16,57
15,17,50.6
16,0,43.11
16,1,49.92
16,2,55.15
16,3,61.19
16,4,71.3
16,5,77.1
16,6,82.56
16,7,86.23
16,8,89.98
16,9,94.6
16,10,91.32
16,11,85.8
16,12,83.38
16,13,74.71
16,14,70.06
16,15,61.96
16,16,56.19
16,17,48.8
17,0,38.05
17,1,46.67
17,2,53.01
17,3,59.7
17,4,61.28
17,5,70.35
17,6,78.03
17,7,77.79
17,8,84.84
17,9,80.64
17,10,82.11
17,11,80.78
17,12,74.51
17,13,70.25
17,14,64.98
17,15,56.32
17,16,51.36
17,17,46.44
18,0,39.12
18,1,41.27
18,2,48.46
18,3,52.81
18,4,55.65
18,5,61.94
18,6,68.26
18,7,72.51
18,8,71.35
18,9,71.1
18,10,72.9
18,11,70.32
18,12,66.28
18,13,60.02
18,14,57.82
18,15,55.16
18,16,49.01
18,17,41.66
19,0,32.04
19,1,35.74
19,2,39.4
19,3,47.87
19,4,53.69
19,5,54.37
19,6,61.55
19,7,62.84
19,8,61.2
19,9,67.59
19,10,61.59
19,11,63.18
19,12,56.62
19,13,58.48
19,14,53.67
19,15,47.99
19,16,41.45
19,17,40.5
20,0,29.07
20,1,36.52
20,2,36.48
20,3,38.6
20,4,47.4
20,5,46.17
20,6,49.62
20,7,51.68
20,8,54.03
20,9,57.6
20,10,57.08
20,11,53.01
20,12,53.43
20,13,46.85
20,14,44.92
20,15,43.08
20,16,39.12
20,17,36.16
21,0,28.33
21,1,30.13
21,2,33.85
21,3,39.48
21,4,36.86
21,5,43.08
21,6,43.6
21,7,47.29
21,8,46.5
21,9,47.18
21,10,50.07
21,11,46.68
21,12,47.47
21,13,41.09
21,14,41.24
21,15,37.89
21,16,32.98
21,17,30.63
22,0,28.56
22,1,26.24
22,2,30.23
22,3,30.23
22,4,35.21
22,5,35.39
22,6,37.62
22,7,38.91
22,8,38.53
22,9,41.45
22,10,44.2
22,11,41.39
22,12,37.5
22,13,38.19
22,14,34.64
22,15,31.35
22,16,27.89
22,17,28.76
23,0,24.02
23,1,25.3
23,2,29.57
23,3,29.94
23,4,32.57
23,5,34.75
23,6,34.6
23,7,36.86
23,8,36.42
23,9,37.21
23,10,33.63
23,11,34.82
23,12,35.12
23,13,30.62
23,14,33.55
23,15,29.53
23,16,29.01
23,17,28.86
