sample_id,stress_MPa,strain_pct,temperature_C
S001,902.37,3.145,137.8
S002,683.6,3.713,40.5
S003,128.7,0.675,115.4
S004,1431.31,4.968,155.9
S005,530.1,3.527,75.3
S006,509.52,2.683,248.1
S007,382.6,1.358,59.6
S008,98.7,0.573,56.5
S009,243.28,1.103,247.2
S010,216.07,0.804,219.4
S011,540.81,2.968,173
S012,968.13,4.468,171.1
S013,1251.23,4.312,96.5
S014,335.93,2.193,135.9
S015,598.89,2.886,277.8
S016,509.5,1.96,148
S017,94.92,0.635,30.6
S018,495.88,2.165,143.9
S019,713.7,2.962,23.1
S020,320.64,1.792,175.6
S021,935.83,3.994,200.6
S022,276.78,1.186,61.2
S023,732.76,4.066,109.4
S024,166.08,0.885,229.8
S025,1024.11,3.69,156.1
S026,45.81,0.288,45.9
S027,664.3,3.551,174
S028,827.37,3.207,207.5
S029,184.91,1.21,265
S030,176.22,0.759,129.7
S031,802.62,2.95,107.9
S032,119.12,0.757,297.9
S033,300.43,1.373,184.3
S034,1200.78,4.721,268.3
S035,595.91,3.744,183.2
S036,153.6,0.687,78.8
S037,735.74,2.6,204.7
S038,508.49,2.77,266.6
S039,708.62,3.421,87.4
S040,140.22,0.483,177.4
S041,592.6,3.16,299.2
S042,128.3,0.632,163.6
S043,226.78,0.924,214.7
S044,721.7,4.432,163.4
S045,258.3,1.175,38.9
S046,717.13,2.611,39.6
S047,434.39,2.469,214.9
S048,497.78,2.781,231.8
S049,1085.95,4.268,109.3
S050,333.13,1.947,239.1
S051,755.82,3.215,243.7
S052,877.98,3.277,115.9
S053,570.46,3.13,241.5
S054,225.42,1.049,115.6
S055,1243.85,4.593,279.1
S056,286.55,1.599,274.5
S057,42.53,0.225,227.9
S058,619.72,2.308,218.7
S059,413.34,2.263,50.9
S060,882.71,4.019,159.7
S061,758.89,3.033,229.9
S062,315.69,1.809,153
S063,656.81,3.066,39.7
S064,664.24,2.55,216.5
S065,61.84,0.33,85.9
S066,954.9,4.631,116.3
S067,301.51,1.083,131
S068,633.62,3.338,147.9
S069,515.44,2.282,293.7
S070,320.84,1.122,35
S071,723.97,4.66,208.2
S072,671.12,3.552,40
S073,320.39,1.333,103.8
S074,809.87,4.461,129.9
S075,425.65,2.259,106.8
S076,852.44,3.464,278.1
S077,338.22,2.061,157.5
S078,454.08,2.405,101.6
S079,194.79,0.793,138.9
S080,297.99,1.754,161.7
S081,86.11,0.416,272.5
S082,1120.89,4.631,264.5
S083,520.84,3.063,168.5
S084,499.44,2.337,67.2
S085,589.56,2.212,72.4
S086,740.75,4.247,148.9
S087,407.24,1.777,279.8
S088,1095.55,4.622,57.4
S089,364.19,2.445,127.2
S090,139,0.716,62.6
S091,478.49,1.991,105.5
S092,458.21,2.999,123.8
S093,563.4,2.611,200.6
S094,459.75,1.936,286.3
S095,347.27,1.839,260.4
S096,372.51,1.732,243.9
S097,171.72,0.591,210.6
S098,858.67,4.652,200.6
S099,905.73,4.057,126.6
S100,709.52,3.119,292.2
S101,604.16,3.174,192.7
S102,725.13,3.216,101
S103,553.72,1.992,136.4
S104,895.66,4.902,99.2
S105,366.04,1.903,113.1
S106,1008.18,4.388,87.6
S107,35.96,0.221,215.9
S108,165.9,0.807,213.4
S109,398.12,1.539,153.7
S110,55.23,0.305,54
S111,909.12,4.918,257
S112,387.96,1.46,30.3
S113,540.88,3.444,72.7
S114,316.03,1.435,239.9
S115,998.93,4.493,220.4
S116,308.39,1.86,179.9
S117,898.2,4.352,176.9
S118,308.29,1.151,236.3
S119,52.01,0.354,51.5
S120,202.46,1.018,200.3
