step,residual,kinetic_energy,temperature
0,2.54747,44.514,301.74
1,2.44423,49.667,299.02
2,2.335,51.946,293.01
3,2.2364,55.977,292.73
4,2.09349,57.363,286.71
5,2.03182,63.291,285.88
6,1.90464,66.968,285.28
7,1.8303,67.129,278.97
8,1.74778,73.075,276.38
9,1.71414,77.009,274.4
10,1.59088,79.308,273.6
11,1.52986,82.749,270.54
12,1.46632,86.885,270.63
13,1.44303,87.877,266.62
14,1.38072,91.065,264.06
15,1.30585,94.633,261.61
16,1.24472,97.607,262.25
17,1.16307,101.329,256.95
18,1.16019,104.289,257.03
19,1.06018,106.045,254.78
20,1.00833,111.316,251.22
21,1.02005,112.917,249.89
22,0.97852,113.704,250.61
23,0.89892,114.332,247.19
24,0.86579,118.851,246.24
25,0.84866,119.991,243.13
26,0.77654,119.483,244.32
27,0.73625,118.905,239.84
28,0.74286,121.912,240.6
29,0.67265,122.381,237.39
30,0.64175,123.247,235.84
31,0.61139,120.53,236.82
32,0.58976,122.539,234.07
33,0.5688,120.209,232.02
34,0.57383,120.571,232.29
35,0.51809,118.751,231.29
36,0.50747,115.778,229.4
37,0.47509,117.206,229.01
38,0.46046,112.009,225.27
39,0.44217,111.233,223.76
40,0.44214,109.221,225.9
41,0.40262,107.705,222.2
42,0.41304,104.048,220.31
43,0.36488,100.437,221.94
44,0.34156,98.707,221.39
45,0.37802,97.43,220.7
46,0.3459,91.192,219.28
47,0.32965,88.846,218.47
48,0.33491,87.599,216.53
49,0.28868,83.967,215.95
50,0.26817,80.476,216.23
51,0.28895,73.649,212.96
52,0.29289,72.291,211.4
53,0.24775,69.995,212.53
54,0.26774,64.373,211.68
55,0.23282,61.088,209.51
56,0.22256,57.909,209.35
57,0.24361,55.525,207.23
58,0.23503,51.447,206.69
59,0.20965,48.153,205.55
60,0.20814,47.919,208.07
61,0.19587,42.319,205.81
62,0.20368,42.077,203.94
63,0.19766,38.714,205.62
64,0.1757,34.312,203.04
65,0.1472,30.925,204.22
66,0.16185,31.545,203.6
67,0.15945,27.509,201.27
68,0.12135,24.546,201.43
69,0.14679,23.982,201.57
70,0.13706,20.385,200.54
71,0.12431,22.034,201.9
72,0.10876,17.238,199.57
73,0.12081,17.449,199.86
74,0.08947,14.901,196.91
75,0.08395,13.83,197.73
76,0.10552,14.953,197.97
77,0.10244,13.856,199.14
78,0.12762,10,197.91
79,0.0776,11.543,197.16
80,0.11134,7.549,196.35
81,0.06443,10.081,194.17
82,0.06695,8.968,196.02
83,0.07772,6.95,194.41
84,0.08112,8.142,196.48
85,0.0741,4.971,192.54
86,0.05121,7.478,195.69
87,0.10745,5.206,192.84
88,0.07022,6.848,191.3
89,0.07644,6.254,193.92
90,0.09993,5.872,194.22
91,0.05711,2.864,191.06
92,0.09738,5.367,191.66
93,0.05461,3.502,191.29
94,0.07573,4.12,192.74
95,0.03676,1.483,190.52
96,0.03833,3.92,189.08
97,0.07856,1.594,189.53
98,0.06079,2.922,190.66
99,0.04617,1.091,190.38
100,0.05675,4.248,189.28
